,Brand,Link,Page Number
88,Haier,https://www.gsmarena.com/haier-phones-33.php,1
89,Haier,https://www.gsmarena.com/haier-phones-f-33-0-p2.php,2
90,Haier,https://www.gsmarena.com/haier-phones-f-33-0-p3.php,3
91,Haier,https://www.gsmarena.com/haier-phones-f-33-0-p4.php,4
92,Honor,https://www.gsmarena.com/honor-phones-121.php,1
93,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p2.php,2
94,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p3.php,3
95,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p4.php,4
96,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p5.php,5
97,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p6.php,6
98,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p7.php,7
99,Honor,https://www.gsmarena.com/honor-phones-f-121-0-p8.php,8
100,HP,https://www.gsmarena.com/hp-phones-41.php,1
101,HP,https://www.gsmarena.com/hp-phones-f-41-0-p2.php,2
102,HTC,https://www.gsmarena.com/htc-phones-45.php,1
103,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p2.php,2
104,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p3.php,3
105,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p4.php,4
106,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p5.php,5
107,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p6.php,6
108,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p7.php,7
109,HTC,https://www.gsmarena.com/htc-phones-f-45-0-p8.php,8
110,Huawei,https://www.gsmarena.com/huawei-phones-58.php,1
111,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p2.php,2
112,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p3.php,3
113,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p4.php,4
114,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p5.php,5
115,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p6.php,6
116,Huawei,https://www.gsmarena.com/huawei-phones-f-58-0-p7.php,7
